  id  |                                                 name                                                 |         created_at         |         updated_at         | external_id 
 2297 | Banik Ostrava                                                                                        | 2012-08-01 09:00:52.288313 | 2012-08-23 13:49:48.426386 | 6362
 2377 | Atletico Nublense                                                                                    | 2012-08-01 09:00:52.343259 | 2013-01-08 01:31:05.020027 | 49559
 2121 | D Tbilisi                                                                                            | 2012-08-01 09:00:51.790471 | 2012-08-01 09:00:51.793824 | 
 2122 | Spartak Trvnava                                                                                      | 2012-08-01 09:00:51.799666 | 2012-08-01 09:00:51.804058 | 
 2123 | Alania Vladivaskaz                                                                                   | 2012-08-01 09:00:51.808444 | 2012-08-01 09:00:51.812423 | 
 2136 | Juve Stabia                                                                                          | 2012-08-01 09:00:51.824517 | 2012-08-06 12:58:20.890616 | 6106
 2178 | Bala Town                                                                                            | 2012-08-01 09:00:52.015468 | 2012-08-06 12:58:45.126301 | 175654
 2186 | Rovaniemi                                                                                            | 2012-08-01 09:00:52.081971 | 2013-01-19 01:31:11.468943 | 1576
 2146 | At. Rafaela                                                                                          | 2012-08-01 09:00:51.900064 | 2012-08-23 12:46:47.245831 | 10085
 2192 | Velez Sarsfield                                                                                      | 2012-08-01 09:00:52.130612 | 2012-08-06 12:58:54.487361 | 10079
 2139 | Velez                                                                                                | 2012-08-01 09:00:51.84715  | 2012-08-01 09:00:51.850536 | 
 2137 | Godoy Cruz                                                                                           | 2012-08-01 09:00:51.831975 | 2012-08-23 12:45:02.037728 | 10227
 2381 | Cobreloa                                                                                             | 2012-08-01 09:00:52.373662 | 2012-08-06 12:59:00.613207 | 1843
 2316 | Belgrano                                                                                             | 2012-08-01 09:00:52.296259 | 2012-08-06 12:58:54.412202 | 10092
 2143 | Banfield                                                                                             | 2012-08-01 09:00:51.877702 | 2012-08-01 09:00:51.881203 | 
 2145 | Union Santa Fe                                                                                       | 2012-08-01 09:00:51.892815 | 2012-08-23 12:48:49.280984 | 10096
 2119 | Plzen                                                                                                | 2012-08-01 09:00:51.774783 | 2012-08-23 13:45:48.736298 | 6033
 2059 | Drogheda                                                                                             | 2012-08-01 09:00:51.385653 | 2012-08-23 14:08:45.822096 | 8339
 2147 | Olimpo Bahia                                                                                         | 2012-08-01 09:00:51.907493 | 2012-08-01 09:00:51.910626 | 
 2141 | Colon                                                                                                | 2012-08-01 09:00:51.862435 | 2012-08-06 12:58:54.763026 | 10088
 2157 | Botswana                                                                                             | 2012-08-01 09:00:51.984651 | 2012-08-22 12:41:35.770885 | 5887
 2154 | Liberia                                                                                              | 2012-08-01 09:00:51.961866 | 2012-08-22 12:41:38.028246 | 5804
 2140 | Newell Old Boys                                                                                      | 2012-08-01 09:00:51.854915 | 2012-08-23 12:43:19.612563 | 10201
 2151 | Benin                                                                                                | 2012-08-01 09:00:51.937496 | 2012-08-22 12:41:37.368496 | 5883
 2152 | Uganda                                                                                               | 2012-08-01 09:00:51.946178 | 2012-08-22 12:41:38.034182 | 5890
 2158 | Niger                                                                                                | 2012-08-01 09:00:51.992138 | 2012-08-22 12:41:36.663451 | 121281
 2155 | Congo                                                                                                | 2012-08-01 09:00:51.969382 | 2012-08-22 12:41:36.598718 | 5801
 2156 | Sudan                                                                                                | 2012-08-01 09:00:51.977312 | 2012-08-22 12:41:36.344749 | 5805
 2265 | Rapid Bucharest                                                                                      | 2012-08-01 09:00:52.252911 | 2012-08-23 14:37:08.560693 | 9738
 2356 | Feirense                                                                                             | 2012-08-01 09:00:52.32849  | 2012-08-06 12:58:47.877483 | 4064
 2179 | Port Talbot                                                                                          | 2012-08-01 09:00:52.023898 | 2012-08-06 12:58:45.215088 | 2197
 2180 | Newtown                                                                                              | 2012-08-01 09:00:52.031704 | 2012-08-06 12:58:45.13279  | 2188
 2176 | Afan Lido                                                                                            | 2012-08-01 09:00:51.99986  | 2012-08-06 12:58:45.280813 | 2195
 2142 | Tigre                                                                                                | 2012-08-01 09:00:51.870107 | 2012-08-06 12:58:54.378976 | 89396
 2101 | Red Star Belgrade                                                                                    | 2012-08-01 09:00:51.643648 | 2012-08-23 14:53:36.550461 | 8687
 2189 | Haka                                                                                                 | 2012-08-01 09:00:52.108281 | 2012-08-16 00:31:08.556491 | 7870
 2183 | Mariehamn                                                                                            | 2012-08-01 09:00:52.057848 | 2012-08-01 09:00:52.061642 | 
 2149 | Panama                                                                                               | 2012-08-01 09:00:51.922333 | 2012-08-22 12:41:35.605147 | 5922
 2185 | Jyvaskyla                                                                                            | 2012-08-01 09:00:52.073938 | 2012-08-01 09:00:52.077605 | 
 2187 | Jaro                                                                                                 | 2012-08-01 09:00:52.093104 | 2012-08-01 09:00:52.096456 | 
 2188 | Vaasa                                                                                                | 2012-08-01 09:00:52.100701 | 2012-08-01 09:00:52.103868 | 
 2184 | Honka                                                                                                | 2012-08-01 09:00:52.06599  | 2012-08-16 00:31:08.656727 | 6605
 2190 | Turku                                                                                                | 2012-08-01 09:00:52.115988 | 2012-08-01 09:00:52.119212 | 
 2080 | Viking                                                                                               | 2012-08-01 09:00:51.573294 | 2012-08-06 12:58:03.258511 | 8478
 2382 | Cobresal                                                                                             | 2012-08-01 09:00:52.382831 | 2012-08-06 12:59:00.77611  | 4055
 2193 | Universitad Catolica                                                                                 | 2012-08-01 09:00:52.138024 | 2012-08-01 09:00:52.14128  | 
 2194 | Iquequi                                                                                              | 2012-08-01 09:00:52.145719 | 2012-08-01 09:00:52.149015 | 
 2196 | Oviedo                                                                                               | 2012-08-01 09:00:52.153181 | 2012-08-01 09:00:52.156969 | 
 2216 | AFC Telford                                                                                          | 2012-08-01 09:00:52.161492 | 2012-08-01 09:00:52.164718 | 
 2256 | Herediana                                                                                            | 2012-08-01 09:00:52.184408 | 2012-08-01 09:00:52.187657 | 
 2396 | Lillestrom                                                                                           | 2012-08-01 09:00:52.425401 | 2012-08-09 12:57:48.176257 | 8476
 2258 | Comunicaciones                                                                                       | 2012-08-01 09:00:52.199623 | 2012-08-01 09:00:52.202776 | 
 2259 | Monterrey                                                                                            | 2012-08-01 09:00:52.206893 | 2012-08-01 09:00:52.210256 | 
 2260 | Itagui Ditaires                                                                                      | 2012-08-01 09:00:52.214629 | 2012-08-01 09:00:52.217847 | 
 2261 | Deportivo Cali                                                                                       | 2012-08-01 09:00:52.222029 | 2012-08-01 09:00:52.225181 | 
 2262 | Junior                                                                                               | 2012-08-01 09:00:52.229439 | 2012-08-01 09:00:52.233007 | 
 2263 | Atletico Nacional                                                                                    | 2012-08-01 09:00:52.237428 | 2012-08-01 09:00:52.240753 | 
 2266 | Platinum Stars                                                                                       | 2012-08-01 09:00:52.261617 | 2012-08-01 09:00:52.264886 | 
 2267 | Golden Arrows                                                                                        | 2012-08-01 09:00:52.269502 | 2012-08-01 09:00:52.27339  | 
 2276 | Maritzburg United                                                                                    | 2012-08-01 09:00:52.279849 | 2012-08-01 09:00:52.283785 | 
 2138 | Argentinos Juniors                                                                                   | 2012-08-01 09:00:51.839772 | 2012-08-06 12:58:54.454128 | 10086
 2376 | Palestino                                                                                            | 2012-08-01 09:00:52.336006 | 2012-08-06 12:59:00.869992 | 6455
 2336 | Supersport United                                                                                    | 2012-08-01 09:00:52.318839 | 2012-08-01 09:00:52.322005 | 
 2107 | Fortuna Dusseldorf                                                                                   | 2012-08-01 09:00:51.694719 | 2012-08-06 13:00:49.606387 | 8194
 2378 | Real Espana                                                                                          | 2012-08-01 09:00:52.351077 | 2012-08-01 09:00:52.354329 | 
 2379 | Tauro FC                                                                                             | 2012-08-01 09:00:52.358761 | 2012-08-01 09:00:52.361931 | 
 2380 | Isidro Metapan                                                                                       | 2012-08-01 09:00:52.366038 | 2012-08-01 09:00:52.369243 | 
 2383 | Santos Laguna                                                                                        | 2012-08-01 09:00:52.391143 | 2012-08-01 09:00:52.395341 | 
